Id,Name,Email,State,Status,CreatedDate/Time,Type,URL
00QDo0000018G1LMAU,Bertha Boxer,bertha@fcof.net,FL,Working - Contacted,2022-11-03T19:24:11,Lead,/services/data/v52.0/sobjects/Lead/00QDo0000018G1LMAU
00QDo0000018G1MMAU,Phyllis Cotton,pcotton@abbottins.net,VA,Open - Not Contacted,2022-11-03T19:24:11,Lead,/services/data/v52.0/sobjects/Lead/00QDo0000018G1MMAU
00QDo0000018G1NMAU,Jeff Glimpse,jeffg@jackson.com,,Open - Not Contacted,2022-11-03T19:24:11,Lead,/services/data/v52.0/sobjects/Lead/00QDo0000018G1NMAU
00QDo0000018G1OMAU,Mike Braund,likeb@metro.com,MD,Open - Not Contacted,2022-11-03T19:24:11,Lead,/services/data/v52.0/sobjects/Lead/00QDo0000018G1OMAU
00QDo0000018G1PMAU,Patricia Feager,patricia_feager@is.com,NC,Working - Contacted,2022-11-03T19:24:11,Lead,/services/data/v52.0/sobjects/Lead/00QDo0000018G1PMAU
00QDo0000018G1QMAU,Brenda Mcclure,brenda@cardinal.net,IL,Working - Contacted,2022-11-03T19:24:11,Lead,/services/data/v52.0/sobjects/Lead/00QDo0000018G1QMAU
00QDo0000018G1RMAU,Violet Maccleod,violetm@emersontransport.com,GA,Working - Contacted,2022-11-03T19:24:11,Lead,/services/data/v52.0/sobjects/Lead/00QDo0000018G1RMAU
00QDo0000018G1SMAU,Kathy Snyder,ksynder@tnr.net,CT,Working - Contacted,2022-11-03T19:24:11,Lead,/services/data/v52.0/sobjects/Lead/00QDo0000018G1SMAU
00QDo0000018G1TMAU,Tom James,tom.james@delphi.chemicals.com,MN,Working - Contacted,2022-11-03T19:24:11,Lead,/services/data/v52.0/sobjects/Lead/00QDo0000018G1TMAU
00QDo0000018G1UMAU,Shelly Brownell,shellyb@westerntelecom.com,CA,Working - Contacted,2022-11-03T19:24:11,Lead,/services/data/v52.0/sobjects/Lead/00QDo0000018G1UMAU
00QDo0000018G1VMAU,Pamela Owenby,pam_owenby@hendricksontrading.com,PA,Closed - Not Converted,2022-11-03T19:24:11,Lead,/services/data/v52.0/sobjects/Lead/00QDo0000018G1VMAU
00QDo0000018G1WMAU,Norm May,norm_may@greenwich.net,OH,Working - Contacted,2022-11-03T19:24:11,Lead,/services/data/v52.0/sobjects/Lead/00QDo0000018G1WMAU
00QDo0000018G1XMAU,Pat Stumuller,pat@pyramid.net,,Closed - Converted,2022-11-03T19:24:11,Lead,/services/data/v52.0/sobjects/Lead/00QDo0000018G1XMAU
00QDo0000018G1YMAU,Andy Young,a_young@dickenson.com,KS,Closed - Converted,2022-11-03T19:24:11,Lead,/services/data/v52.0/sobjects/Lead/00QDo0000018G1YMAU
00QDo0000018G1ZMAU,Kristen Akin,kakin@athenahome.com,VA,Working - Contacted,2022-11-03T19:24:11,Lead,/services/data/v52.0/sobjects/Lead/00QDo0000018G1ZMAU
00QDo0000018G1aMAE,David Monaco,david@blues.com,,Working - Contacted,2022-11-03T19:24:11,Lead,/services/data/v52.0/sobjects/Lead/00QDo0000018G1aMAE
00QDo0000018G1bMAE,Carolyn Crenshaw,carolync@aceis.com,AL,Closed - Not Converted,2022-11-03T19:24:11,Lead,/services/data/v52.0/sobjects/Lead/00QDo0000018G1bMAE
00QDo0000018G1cMAE,Jack Rogers,jrogers@btca.com,NC,Closed - Converted,2022-11-03T19:24:11,Lead,/services/data/v52.0/sobjects/Lead/00QDo0000018G1cMAE
00QDo0000018G1dMAE,Bill Dadio Jr,bill_dadio@zenith.com,OH,Closed - Not Converted,2022-11-03T19:24:11,Lead,/services/data/v52.0/sobjects/Lead/00QDo0000018G1dMAE
00QDo0000018G1eMAE,Eugena Luce,eluce@pacificretail.com,MA,Closed - Not Converted,2022-11-03T19:24:11,Lead,/services/data/v52.0/sobjects/Lead/00QDo0000018G1eMAE
00QDo0000018G1fMAE,Sandra Eberhard,sandra_e@highland.net,CA,Working - Contacted,2022-11-03T19:24:11,Lead,/services/data/v52.0/sobjects/Lead/00QDo0000018G1fMAE
00QDo0000018G1gMAE,Betty Bair,bblair@abankingco.com,PA,Working - Contacted,2022-11-03T19:24:11,Lead,/services/data/v52.0/sobjects/Lead/00QDo0000018G1gMAE
